Название;Категория;Калории (ккал);Белки (г);Жиры (г);Углеводы (г);Ссылка
"Каша молочная «Gipopo» мультизлаковая, банан-яблоко, 200 г";"Новинки";410;12;10;68;https://yarcheplus.ru/product/kasha-molochnaya-40855
"Каша молочная «Gipopo» Овсяная с персиком, 200 г";"Новинки";411;13;11;65;https://yarcheplus.ru/product/kasha-molochnaya-40854
"Шоколад молочный «Россия – щедрая душа!» Кофе с молоком, 75 г";"Новинки";517;7;29;55;https://yarcheplus.ru/product/shokolad-molochniy-40764
"Шоколад молочный «Россия – щедрая душа!» Очень молочный, 75 г";"Новинки";539;6.5;30;59;https://yarcheplus.ru/product/shokolad-molochniy-40763
"Шоколад молочный «Россия – щедрая душа!» Миндаль и изюм, 75 г";"Новинки";514;6.7;27;58;https://yarcheplus.ru/product/shokolad-molochniy-40762
"Шоколад молочный «Россия – щедрая душа!» Фундук и изюм, 75 г";"Новинки";525;6.5;29;59;https://yarcheplus.ru/product/shokolad-molochniy-40761
"Шоколад молочный «Milka MMMAX» Миндаль и карамель, 270 г";"Новинки";531;5.9;31;55;https://yarcheplus.ru/product/shokolad-molochniy-40753
"Готовый завтрак «Любятово» Подушечки с начинкой манго, 220 г";"Новинки";431;7.8;13.8;65.9;https://yarcheplus.ru/product/gotoviy-zavtrak-40746
"Готовый завтрак «Любятово» Шарики шоколадные Дуо микс, 500 г";"Новинки";374;8.9;1.6;78;https://yarcheplus.ru/product/gotoviy-zavtrak-40745
"Готовый завтрак «Любятово» Подушечки со вкусом булочки с корицей, 190 г";"Новинки";373;8;1.8;78.1;https://yarcheplus.ru/product/gotoviy-zavtrak-40744
"Корюшка, 500 г";"Новинки";102;15.4;3;;https://yarcheplus.ru/product/koryushka-40739
"Блинчики «Солнечный день» с вишней, 360 г";"Новинки";160;3.1;4.9;28.1;https://yarcheplus.ru/product/blinchiki-40795
"Набор шоколада «Ritter Sport», 150 г";"Новинки";537.8;7.2;33;53;https://yarcheplus.ru/product/nabor-shokolada-40801
"Набор шоколада «Ritter Sport» с орехом, 116 г";"Новинки";549.2;7.3;36;49;https://yarcheplus.ru/product/nabor-shokolada-40802
"Чипсы кукурузные «PAPA NACHOS» со вкусом Тайский кисло-сладкий соус чили, 75 г";"Новинки";460;6.5;23;57;https://yarcheplus.ru/product/chipsy-kukuruznye-40708
"Нектар «Свой сад» Яблочный, 1 л";"Новинки";45;;;11.2;https://yarcheplus.ru/product/nektar-40569
"Нектар «Свой сад» Морковный, 1 л";"Новинки";44;;;11;https://yarcheplus.ru/product/nektar-40567
"Нектар «Свой сад» Гранатовый, 1 л";"Новинки";48;;;12;https://yarcheplus.ru/product/nektar-40566
"Нектар «Свой сад» Тыквенный с мякотью, 1 л";"Новинки";44;;;11;https://yarcheplus.ru/product/nektar-40568
"Мармелад жевательный «Strike» Дринксы, 70 г";"Новинки";310;5;;72;https://yarcheplus.ru/product/marmelad-zhevatelniy-40625
"Говядина для тушения «Гордость фермера», 500 г";"Новинки";226;16;18;;https://yarcheplus.ru/product/govyadina-dlya-tusheniya-40808
"Драже «Strike» молочный шоколад в цветной глазури, 40 г";"Новинки";490;4.5;22;68;https://yarcheplus.ru/product/drazhe-40586
"Драже «Strike» арахис в цветной глазури, 40 г";"Новинки";520;10;28;57;https://yarcheplus.ru/product/drazhe-40585
"Драже «Strike» «Вафельный микс» банан/дыня, 40 г";"Новинки";550;6;34;56;https://yarcheplus.ru/product/drazhe-40584
"Шницель «Новосибирская птицефабрика» «Натуральный», 400 г";"Новинки";120;15;4;6;https://yarcheplus.ru/product/shnitsel-40767
"Стрипсы «Новосибирская птицефабрика», 400 г";"Новинки";120;15;4;7;https://yarcheplus.ru/product/stripsy-40766
"Трубочки «Babyfox wafer rolls» с ореховой начинкой и какао, 16 г";"Новинки";510;7.5;26;62;https://yarcheplus.ru/product/trubochki-40730
"Трубочки «Babyfox wafer rolls» с молочной начинкой, 16 г";"Новинки";550;9;32;56;https://yarcheplus.ru/product/trubochki-40729
"Вафли «Яшкино» с какао и вкусом ванили, 200 г";"Новинки";520;5;28;62;https://yarcheplus.ru/product/vafli-40710
"Сосиски «Торговая площадь» Молочные, 300 г";"Новинки";190;17;13;;https://yarcheplus.ru/product/sosiski-40793
"Масло подсолнечное «Алтайское поместье», 1 л";"Новинки";900;;99.9;;https://yarcheplus.ru/product/maslo-podsolnechnoe-40780
"Конфеты мультизлаковые «Co Barre DeChocolat» с белой глазурью";"Новинки";460;5.5;17.5;70.1;https://yarcheplus.ru/product/konfety-multizlakovye-40787
"Пудинг 4.7% «Grand Dessert» с фисташкой и сливочно-малиновый мусс, 200 г";"Новинки";120;2.3;4.7;17.4;https://yarcheplus.ru/product/puding-40373
"Колбаса «Торговая площадь» Докторская, 400 г";"Новинки";180;15;13;;https://yarcheplus.ru/product/kolbasa-40792
"Фруктовый микс «Filipino Sun» манго, джекфрут, ананас, 100 г";"Новинки";350;1;;85;https://yarcheplus.ru/product/fruktoviy-miks-40769
"Майонез «Mr. Ricco» На перепелином яйце, 800 мл";"Новинки";610;0.4;67;2;https://yarcheplus.ru/product/mayonez-40743
"Люля-кебаб «Боровково» из свинины, 400 г";"Новинки";292;10;28;;https://yarcheplus.ru/product/lyulya-kebab-40773
"Майонез «Я люблю готовить» Домашний, 600 мл";"Новинки";510;0.3;55;3.3;https://yarcheplus.ru/product/mayonez-40754
"Эскимо «Babyfox» пломбир ванильный в молочном шоколаде, 45 г";"Новинки";360;6;27;22;https://yarcheplus.ru/product/eskimo-40755
"Пирожное «Fresh Pie» Клубника – малина, 150 г";"Новинки";445;6;25;49;https://yarcheplus.ru/product/pirozhnoe-40576
"Горбуша «Доброфлот» натуральная, 245 г";"Новинки";138;21;6;;https://yarcheplus.ru/product/gorbusha-12121
"Чипсы кукурузные «PAPA NACHOS» со вкусом сыра, 75 г";"Новинки";460;6.5;22;57;https://yarcheplus.ru/product/chipsy-kukuruznye-40709
"Сорбет «Wild Mix» со вкусом кивано и гуавы, 70 г";"Новинки";90;;;22.4;https://yarcheplus.ru/product/sorbet-40681
"Слойка с малиновой начинкой, 78 г";"Хиты";310;4;14;43;https://yarcheplus.ru/product/sloyka-40086
"Карпаччо «Дымов» из курицы, в нарезке, 70 г";"Хиты";170;20;10;;https://yarcheplus.ru/product/karpachcho-39001
"Квас Алтайский традиционный, 1,5 л";"Хиты";20;;;4.7;https://yarcheplus.ru/product/kvas-38683
"Семечки «Бабкины семечки» очищенные, соленые, 100 г";"Хиты";671;24.68;54.3;16.78;https://yarcheplus.ru/product/semechki-38457
"Мороженое «Medino» с ароматом крем-брюле, 70 г";"Хиты";240;5;14;24;https://yarcheplus.ru/product/morozhenoe-38407
"Тропическая смесь «Good fruit» манго, ананас, маракуйя, 300 г";"Хиты";65;1;0.5;14;https://yarcheplus.ru/product/tropicheskaya-smes-34967
"Паста «Крем-Фиш» Снежный краб, 150 г";"Хиты";480;5;50;4.5;https://yarcheplus.ru/product/pasta-33892
"Пломбир «Чио Рио» карамельный с какао и кукурузными шариками, 260 г";"Хиты";240;4.5;12;29;https://yarcheplus.ru/product/plombir-33246
"Пастилки «Правильные сладости» Яблочные, 70 г";"Хиты";340;1;0.2;84;https://yarcheplus.ru/product/pastilki-31895
"Макаронные изделия «Pasteroni» Tortiglioni №127, 400 г";"Хиты";350;13;1.5;70;https://yarcheplus.ru/product/makaronnye-izdeliya-30456
"Готовый завтрак «Leonardo» Подушечки с шоколадно-ореховой начинкой, 250 г";"Хиты";450;6.5;18;66;https://yarcheplus.ru/product/gotoviy-zavtrak-27309
"Смесь семян для салата «Толк & польза» «Сибирская», 60 г";"Хиты";598.6;18.7;53.7;9.9;https://yarcheplus.ru/product/smes-semyan-dlya-salata-23139
"Творог 3.8% «Мама Лама» клубника-банан, 100 г";"Хиты";110;7.9;3.8;9.9;https://yarcheplus.ru/product/tvorog-18675
"Перец красный поштучно, 0,1 - 0,4 кг";"Хиты";27;1.3;;5.7;https://yarcheplus.ru/product/perets-7725
"Сухарики «Кириешки Maxi» со вкусом стейка с черным перцем и соусом барбекю Calve, 75 г";"Хиты";416;10.5;10;71;https://yarcheplus.ru/product/sukhariki-5983
"Детское печенье «Бегемотик Бонди» обогащенное кальцием, 180 г";"Хиты";410;9;11;74;https://yarcheplus.ru/product/detskoe-pechenye-4912
"Конфеты «Belucci» со сливочным вкусом";"Хиты";430;2;19;62;https://yarcheplus.ru/product/konfety-4565
"Чипсы «PRO-Чипсы» натуральные картофельные со вкусом сметаны и лука, 150 г";"Хиты";500;6;30;52;https://yarcheplus.ru/product/chipsy-4156
"Йогурт 5% «Epica» Персик-маракуйя, 130 г";"Хиты";120;5.8;5;13.9;https://yarcheplus.ru/product/yogurt-3286
"Тесто слоеное для домашних круассанов «Едим дома», 360 г";"Хиты";360;6;21;38;https://yarcheplus.ru/product/testo-sloenoe-dlya-domashnikh-kruassanov-2532
"Яйцо куриное С0";"Хиты";164;13;12;1;https://yarcheplus.ru/product/yaytso-kurinoe-2622
"Картофель импорт";"Хиты";77;2;0.1;17;https://yarcheplus.ru/product/kartofel-7648
"Яйцо куриное С1";"Хиты";150;13;12;1;https://yarcheplus.ru/product/yaytso-kurinoe-3344
"Напиток кофейный «Bridge», 20 г";"Хиты";430;1.5;11;82;https://yarcheplus.ru/product/napitok-kofeyniy-17622
"Мороженое «FruttoBella» лёд Арбуз-дыня, 60 г";"Хиты";90;;100;22;https://yarcheplus.ru/product/morozhenoe-36051
"Молоко 2.5%, 900 г";"Хиты";53;3;2.5;4.7;https://yarcheplus.ru/product/moloko-4318
"Сметана 15%, 350 г";"Хиты";160;2.6;15;3.6;https://yarcheplus.ru/product/smetana-6530
"Булочка пшеничная, 40 г";"Хиты";290;7;5.5;49;https://yarcheplus.ru/product/bulochka-6756
"Капуста белокочанная Свежий урожай поштучно, 0,8 - 4,5 кг";"Хиты";28;1.8;;54;https://yarcheplus.ru/product/kapusta-belokochannaya-16314
"Лук репчатый желтый свежий урожай";"Хиты";43;3;;7.3;https://yarcheplus.ru/product/luk-repchatiy-zheltiy-svezhiy-urozhay-36107
"Мороженое «ГОСТ» в вафлях, с вареной сгущенкой и глазурью, 75 г";"Хиты";275;5;11;39;https://yarcheplus.ru/product/morozhenoe-33922
"Кофе растворимый «MacCoffee» Сгущенное молоко, 20 г";"Хиты";87;0.3;2;17.1;https://yarcheplus.ru/product/kofe-rastvorimiy-38428
"Хлеб «Инской» Тостовый, 400 г";"Хиты";270;8;1.5;55;https://yarcheplus.ru/product/khleb-29473
"Булочка Зерновая, 60 г";"Хиты";230;8;5.5;42;https://yarcheplus.ru/product/bulochka-9798
"Молоко 2.5%, 850 г";"Хиты";53;3;2.5;4.7;https://yarcheplus.ru/product/moloko-7228
"Фарш куриный «Петелинка» Премиум, из филе грудки, 450 г";"Хиты";130;20;5;1.5;https://yarcheplus.ru/product/farsh-kuriniy-34594
"Сахар фасованный, 1 кг";"Хиты";400;;;100;https://yarcheplus.ru/product/sakhar-fasovanniy-6378
"Пломбир «Slendy» с вареным сгущенным молоком, 80 г";"Хиты";230;5;11;28;https://yarcheplus.ru/product/plombir-23461
"Эскимо «FruttoBella» молочное малиновое в ягодной глазури, 55 г";"Хиты";130;1.5;2.5;26;https://yarcheplus.ru/product/eskimo-38432
"Мороженое «FruttoBella» клубника внутри, клубника снаружи, 60 г";"Хиты";190;2.5;2;41;https://yarcheplus.ru/product/morozhenoe-36539
"Мороженое «Medino» шоколадный пломбир в вафельном стаканчике, 70 г";"Хиты";240;4.5;15;22;https://yarcheplus.ru/product/morozhenoe-17216
"Сырники «Гордость фермера», 300 г";"Хиты";180;15;4;20;https://yarcheplus.ru/product/syrniki-38219
"Куриное филе охлажденное, 0,6 - 1,3 кг";"Хиты";110;21;2.5;;https://yarcheplus.ru/product/kurinoe-file-2768
"Фруктовый лед «Топтыжка» с ароматами апельсина, банана и клубники, 50 г";"Хиты";80;;;20;https://yarcheplus.ru/product/fruktoviy-led-40436
"Слойка с ветчиной и сыром, 90 г";"Хиты";310;15;18;22;https://yarcheplus.ru/product/sloyka-5299
"Напиток газированный «Добрый Cola», 500 мл";"Хиты";42;;;10.6;https://yarcheplus.ru/product/napitok-gazirovanniy-38245
"Картофель Молодой";"Хиты";77;2;0.1;17;https://yarcheplus.ru/product/kartofel-7066
"Стрипсы «Новосибирская птицефабрика», 400 г";"Всё для пикника";120;15;4;7;https://yarcheplus.ru/product/stripsy-40766
"Майонез «Я люблю готовить» Домашний, 600 мл";"Всё для пикника";510;0.3;55;3.3;https://yarcheplus.ru/product/mayonez-40754
"Чалагач «Омский бекон» в маринаде, 1 - 1,2 кг";"Всё для пикника";219;21;15;;https://yarcheplus.ru/product/chalagach-40603
"Шашлык классический охлажденный «Омский бекон», 1,3 - 2 кг";"Всё для пикника";134;11;10;;https://yarcheplus.ru/product/shashlyk-klassicheskiy-okhlazhdenniy-40602
"Стейк «Инди» из грудки индейки «Азиатский», 500 г";"Всё для пикника";289;14;18;;https://yarcheplus.ru/product/steyk-40587
"Чевапчичи «Петелинка» Оригинальные, 350 г";"Всё для пикника";160;16;10;;https://yarcheplus.ru/product/chevapchichi-40638
"Колбаски для гриля «Петелинка», 350 г";"Всё для пикника";180;16;12;2;https://yarcheplus.ru/product/kolbaski-dlya-grilya-40639
"Шницель «Гордость фермера» в маринаде, 600 г";"Всё для пикника";226;16;18;;https://yarcheplus.ru/product/shnitsel-38100
"Колбаски «Сибагро» свиные с сыром, 400 г";"Всё для пикника";347;8;35;;https://yarcheplus.ru/product/kolbaski-38218
"Бедро куриное «Сибагро» в маринаде, 0,9 - 1,9 кг";"Всё для пикника";186;13;14;;https://yarcheplus.ru/product/bedro-kurinoe-34474
"Ребрышки свиные «Боровково», 400 г";"Всё для пикника";282;10;28;;https://yarcheplus.ru/product/rebryshki-svinye-29702
"Шашлык Классический из свинины в специях «Боровково», 900 г";"Всё для пикника";210;12;18;;https://yarcheplus.ru/product/shashlyk-klassicheskiy-iz-svininy-v-spetsiyakh-12717
"Колбаски «Боровково» Для жарки, 400 г";"Всё для пикника";291;12;27;;https://yarcheplus.ru/product/kolbaski-23810
"Колбаски вареные «Гордость фермера» Гриль, 300 г";"Всё для пикника";318;12;30;;https://yarcheplus.ru/product/kolbaski-varenye-2630
"Приправа для шашлыка «Галерея вкусов», 20 г";"Всё для пикника";230;;;;https://yarcheplus.ru/product/priprava-dlya-shashlyka-34386
"Паприка молотая «Галерея вкусов», 10 г";"Всё для пикника";260;13;1;50;https://yarcheplus.ru/product/paprika-molotaya-4325
"Чеснок «Галерея вкусов» молотый, 10 г";"Всё для пикника";260;;;64;https://yarcheplus.ru/product/chesnok-3684
"Кетчуп «Балтимор» Шашлычный, 260 г";"Всё для пикника";70;1;0.4;15;https://yarcheplus.ru/product/ketchup-5306
"Майонез «Mr.Ricco» с маслом авокадо, 400 мл";"Всё для пикника";610;0.3;67;2;https://yarcheplus.ru/product/mayonez-36366
"Соус «Calve» Сырный, 230 г";"Всё для пикника";260;1;25;9;https://yarcheplus.ru/product/sous-7496
"Соус «Calve» с лесными грибами, 230 г";"Всё для пикника";220;1.5;20;7.5;https://yarcheplus.ru/product/sous-4646
"Соус «Calve» сливочно-чесночный, 230 г";"Всё для пикника";240;1;20;11;https://yarcheplus.ru/product/sous-12309
"Соус деликатесный «Махеевъ» Барбекю, 350 г";"Всё для пикника";88;1;;21;https://yarcheplus.ru/product/sous-delikatesniy-37684
"Лепешки «Mission» Гриль, тортильи пшеничные оригинальные, 250 г";"Всё для пикника";290;7;7;48;https://yarcheplus.ru/product/lepeshki-18052
"Хлеб для сэндвичей Классический, 350 г";"Всё для пикника";310;9;7;53;https://yarcheplus.ru/product/khleb-dlya-sendvichey-31842
"Нектар «Gardelli» Деревенское яблоко, 1 л";"Всё для пикника";42;;;10.5;https://yarcheplus.ru/product/nektar-29037
"Холодный чай «Djazzy» с лимоном, 1 л";"Всё для пикника";30;;;7.5;https://yarcheplus.ru/product/kholodniy-chay-33546
"Напиток «Gardelli» Сочный томат и базилик, 1 л";"Всё для пикника";17;;;3.3;https://yarcheplus.ru/product/napitok-29038
"Нектар «Gardelli» Нежный персик, 1 л";"Всё для пикника";44;;;10.9;https://yarcheplus.ru/product/nektar-29227
"Нектар «Gardelli» Мультифруктовый, 1 л";"Всё для пикника";48;;;12.1;https://yarcheplus.ru/product/nektar-29351
"Чипсы «Чипсоны» со вкусом шашлыка, 40 г";"Всё для пикника";530;2.5;31;59;https://yarcheplus.ru/product/chipsy-4239
"Чипсы «Чипсоны» со вкусом сметаны и лука, 40 г";"Всё для пикника";540;3;30;63;https://yarcheplus.ru/product/chipsy-4447
"Чипсы «Чипсоны» со вкусом краба, 40 г";"Всё для пикника";510;5;28;59;https://yarcheplus.ru/product/chipsy-3652
"Луковые кольца «Mini Free» со вкусом сыра, 45 г";"Всё для пикника";470;4;23;63;https://yarcheplus.ru/product/lukovye-koltsa-4269
"Чипсы «Чипсоны» со вкусом бекона, 40 г";"Всё для пикника";530;2;32;58;https://yarcheplus.ru/product/chipsy-4439
"Луковые кольца «Mini Free» со вкусом сметаны, 45 г";"Всё для пикника";480;4;23;64;https://yarcheplus.ru/product/lukovye-koltsa-4263
"Луковые кольца «Mini Free» со вкусом бекона, 45 г";"Всё для пикника";470;4;23;63;https://yarcheplus.ru/product/lukovye-koltsa-4308
"Тараллини «Nina Farina» Томат и ароматные травы, 180 г";"Всё для пикника";480;10;20;64;https://yarcheplus.ru/product/tarallini-5566
"Тараллини «Nina Farina» классические, 180 г";"Всё для пикника";460;9;20;61;https://yarcheplus.ru/product/tarallini-5668
"Тараллини «Nina Farina» с чесноком, 180 г";"Всё для пикника";470;10;20;63;https://yarcheplus.ru/product/tarallini-5548
"Сухарики «Кириешки» со вкусом холодца с хреном, 40 г";"Всё для пикника";400;12;7.5;71;https://yarcheplus.ru/product/sukhariki-6020
"Сухарики «Кириешки» со вкусом ветчины и сыра, 40 г";"Всё для пикника";400;12;7.5;71;https://yarcheplus.ru/product/sukhariki-6430
"Сухарики «Кириешки» со вкусом бекона, 40 г";"Всё для пикника";400;12;7.5;71;https://yarcheplus.ru/product/sukhariki-6461
"Сухарики «Кириешки Maxi» со вкусом сладкого чили, 60 г";"Всё для пикника";416;10.5;10;71;https://yarcheplus.ru/product/sukhariki-6409
"Капуста краснокочанная «Ярче!» шинкованная, 200 г";"Овощи";37;0.8;0.8;8.1;https://yarcheplus.ru/product/kapusta-krasnokochannaya-38722
"Свёкла свежая соломка, 200 г";"Овощи";42;1.5;0.1;2.2;https://yarcheplus.ru/product/svyokla-svezhaya-38308
"Морковь свежая соломка, 200 г";"Овощи";35;1.3;0.1;6.9;https://yarcheplus.ru/product/morkov-svezhaya-37766
"Томаты черри Фламенко, 250 г";"Овощи";15;0.8;0.1;2.8;https://yarcheplus.ru/product/tomaty-cherri-37095
"Морковные палочки и яблочные дольки «Белая дача», 80 г";"Овощи";44.1;0.9;0.3;8.4;https://yarcheplus.ru/product/morkovnye-palochki-i-yablochnye-dolki-36947
"Капуста шинкованная с морковью, 250 г";"Овощи";27;1.8;0.1;4.8;https://yarcheplus.ru/product/kapusta-shinkovannaya-s-morkovyu-36790
"Капуста белокочанная шинкованная, 250 г";"Овощи";28;1.8;0.1;4.7;https://yarcheplus.ru/product/kapusta-belokochannaya-34715
"Томаты розовые";"Овощи";20;0.1;1.2;3.7;https://yarcheplus.ru/product/tomaty-7593
"Томаты";"Овощи";20;1.1;0.2;3.7;https://yarcheplus.ru/product/tomaty-2574
"Томаты черри, 250 г";"Овощи";24;1.1;2;3.8;https://yarcheplus.ru/product/tomaty-3028
"Перец Ласточка, поштучно, 0,1 - 0,2 кг";"Овощи";22;1.2;0.1;4.8;https://yarcheplus.ru/product/perets-7711
"Перец красный поштучно, 0,1 - 0,4 кг";"Овощи";27;1.3;;5.7;https://yarcheplus.ru/product/perets-7725
"Лук репчатый желтый свежий урожай";"Овощи";43;3;;7.3;https://yarcheplus.ru/product/luk-repchatiy-zheltiy-svezhiy-urozhay-36107
"Томаты Черри Делтари, 250 г";"Овощи";25;1;0.5;3.7;https://yarcheplus.ru/product/tomaty-cherri-deltari-36231
"Томаты Черри «Сладкая ягода» оранжевые, 200 г";"Овощи";19.9;1.45;0.3;5.5;https://yarcheplus.ru/product/tomaty-cherri-35201
"Авокадо Хасс";"Овощи";156;2;15;2;https://yarcheplus.ru/product/avokado-16907
"Томаты черри микс, 250 г";"Овощи";15;0.8;0.1;2.8;https://yarcheplus.ru/product/tomaty-7084
"Томат коктейльный на ветке, 350 г";"Овощи";15;0.8;0.1;2.8;https://yarcheplus.ru/product/tomat-7714
"Томаты сливовидные желтые";"Овощи";70;0.98;0.5;2.28;https://yarcheplus.ru/product/tomaty-17875
"Томаты сливовидные красные";"Овощи";23;1;0.3;5;https://yarcheplus.ru/product/tomaty-18536
"Томаты Черри «Сладкая ягода», 200 г";"Овощи";15;0.8;0.1;2.8;https://yarcheplus.ru/product/tomaty-cherri-22676
"Томаты Махитос";"Овощи";14;0.6;;3.8;https://yarcheplus.ru/product/tomaty-23604
"Картофель отварной, 500 г";"Овощи";82;2;0.4;16.7;https://yarcheplus.ru/product/kartofel-22705
"Картофель импорт";"Овощи";77;2;0.1;17;https://yarcheplus.ru/product/kartofel-7648
"Морковь мытая";"Овощи";33;1.3;0.1;7;https://yarcheplus.ru/product/morkov-3241
"Морковь импорт";"Овощи";34;1.3;0.1;7.2;https://yarcheplus.ru/product/morkov-7728
"Свёкла Свежий урожай, поштучно, 0,1 - 0,5 кг";"Овощи";48;1.7;;10.8;https://yarcheplus.ru/product/svyokla-16890
"Свёкла отварная, 500 г";"Овощи";44;1.5;0.2;8;https://yarcheplus.ru/product/svyokla-22704
"Перец желтый, поштучно, 0,1 - 0,3 кг";"Овощи";27;1.3;;5.3;https://yarcheplus.ru/product/perets-8447
"Чеснок 3 шт";"Овощи";46;6.5;;5.2;https://yarcheplus.ru/product/chesnok-17955
"Чеснок";"Овощи";46;6.5;;5.2;https://yarcheplus.ru/product/chesnok-3254
"Чеснок молодой";"Овощи";46;6.2;;5.2;https://yarcheplus.ru/product/chesnok-17016
"Капуста краснокочанная поштучно, 1 - 2,5 кг";"Овощи";27.7;1.55;0.4;6.2;https://yarcheplus.ru/product/kapusta-8551
"Баклажаны поштучно, 0,1 - 0,55 кг";"Овощи";24;1.2;0.1;4.5;https://yarcheplus.ru/product/baklazhany-8335
"Кабачки поштучно, 0,4 - 1 кг";"Овощи";17;1.2;0.3;3.1;https://yarcheplus.ru/product/kabachki-8338
"Капуста белокочанная Свежий урожай поштучно, 0,8 - 4,5 кг";"Овощи";28;1.8;;54;https://yarcheplus.ru/product/kapusta-belokochannaya-16314
"Кукуруза сладкая, 450 г";"Овощи";86;3.2;1.2;19;https://yarcheplus.ru/product/kukuruza-16245
"Капуста пекинская поштучно, 0,5 - 3 кг";"Овощи";16;1.2;0.2;2;https://yarcheplus.ru/product/kapusta-3250
"Корень имбиря";"Овощи";80;1.8;0.8;17.8;https://yarcheplus.ru/product/koren-2787
"Редька маргеланская поштучно, 0,1 - 0,6 кг";"Овощи";21;1.2;;4.1;https://yarcheplus.ru/product/redka-6766
"Стебель сельдерея поштучно, 0,5 - 1,2 кг";"Овощи";13;0.9;0.1;2.1;https://yarcheplus.ru/product/stebel-seldereya-7295
"Огурцы колючие короткоплодные, в лотке, 450 г";"Овощи";16;0.7;0.1;3.6;https://yarcheplus.ru/product/ogurtsy-kolyuchie-korotkoplodnye-36336
"Авокадо 1 шт";"Овощи";160;2;14.7;1.8;https://yarcheplus.ru/product/avokado-2472
"Огурец гладкий среднеплодный поштучно, 0,1 - 0,45 кг";"Овощи";15;0.8;0.1;2.8;https://yarcheplus.ru/product/ogurets-2891
"Лонган, 500 г";"Фрукты";60;1.3;0.1;14.4;https://yarcheplus.ru/product/longan-31164
"Груша Нэши, 0,3 - 0,9 кг";"Фрукты";42;0.5;0.2;7.1;https://yarcheplus.ru/product/grusha-36979
"Морковные палочки и яблочные дольки «Белая дача», 80 г";"Фрукты";44.1;0.9;0.3;8.4;https://yarcheplus.ru/product/morkovnye-palochki-i-yablochnye-dolki-36947
"Арбуз импорт, 3 - 7 кг";"Фрукты";27;0.7;0.1;5.8;https://yarcheplus.ru/product/arbuz-11837
"Персики свежие";"Фрукты";39;1.3;0.3;10.8;https://yarcheplus.ru/product/persiki-16420
"Лимоны поштучно, 0,1 - 0,3 кг";"Фрукты";34;0.9;0.1;3;https://yarcheplus.ru/product/limony-2509
"Яблоки Гренни импорт, 0,13 - 0,25 кг";"Фрукты";46;0.4;0.4;11.3;https://yarcheplus.ru/product/yabloki-grenni-import-36129
"Яблоки Розовый рубин, 0,15 - 0,4 кг";"Фрукты";47;0.4;0.4;9.8;https://yarcheplus.ru/product/yabloki-30262
"Яблоко Симиренко поштучно, 0,1 - 0,3 кг";"Фрукты";45;;;8;https://yarcheplus.ru/product/yabloko-6780
"Яблоки Ред поштучно, 0,1 - 0,35 кг";"Фрукты";46;;;11.3;https://yarcheplus.ru/product/yabloki-3101
"Груша Хрустальная, 0,15 - 0,3 кг";"Фрукты";42;0.5;0.3;8.9;https://yarcheplus.ru/product/grusha-8550
"Груши Конференция поштучно, 0,2 - 0,4 кг";"Фрукты";42;0.4;;10.7;https://yarcheplus.ru/product/grushi-3260
"Апельсины поштучно, 0,2 - 0,55 кг";"Фрукты";43;0.9;0.2;8.1;https://yarcheplus.ru/product/apelsiny-3259
"Мандарины";"Фрукты";38;0.8;0.2;7.5;https://yarcheplus.ru/product/mandariny-3255
"Черешня, 500 г";"Фрукты";52;1.1;0.4;10.6;https://yarcheplus.ru/product/chereshnya-16824
"Дыня колхозница, 0,8 - 4 кг";"Фрукты";32.06;0.6;0.23;7.4;https://yarcheplus.ru/product/dynya-7662
"Дыня желтая импорт, 2 - 5 кг";"Фрукты";33;0.6;0.3;7.4;https://yarcheplus.ru/product/dynya-zheltaya-28139
"Нектарин";"Фрукты";44;1.06;0.32;8.85;https://yarcheplus.ru/product/nektarin-8354
"Виноград Шарада";"Фрукты";78;0.2;0.7;17;https://yarcheplus.ru/product/vinograd-29362
"Виноград Томпсон";"Фрукты";69;1;0.1;17;https://yarcheplus.ru/product/vinograd-7667
"Лайм 1 шт.";"Фрукты";16;0.9;0.1;3;https://yarcheplus.ru/product/laym-29838
"Авокадо Хасс";"Фрукты";156;2;15;2;https://yarcheplus.ru/product/avokado-16907
"Маракуйя";"Фрукты";68;2.4;0.4;13.4;https://yarcheplus.ru/product/marakuyya-22293
"Питахайя белая";"Фрукты";50;0.5;0.3;12;https://yarcheplus.ru/product/pitakhayya-18352
"Очищенный кокос питьевой, с трубочкой";"Фрукты";19;0.7;0.2;3.7;https://yarcheplus.ru/product/ochischenniy-kokos-17380
"Ананас поштучно, 1,5 - 3 кг";"Фрукты";52;0.3;0.1;11.8;https://yarcheplus.ru/product/ananas-7053
"Слива";"Фрукты";42;0.8;0.3;9.6;https://yarcheplus.ru/product/sliva-16879
"Грейпфрут поштучно, 0,2 - 0,8 кг";"Фрукты";35;0.7;0.2;6.5;https://yarcheplus.ru/product/greypfrut-3251
"Дыня импорт, 2 - 2,5 кг";"Фрукты";33;0.6;0.3;7.4;https://yarcheplus.ru/product/dynya-7083
"Бананы поштучно, 0,1 - 0,3 кг";"Фрукты";96;1.5;0.5;21;https://yarcheplus.ru/product/banany-2823
"Яблоки Ред Делишес, 0,2 - 0,5 кг";"Фрукты";47;0.4;0.4;9.8;https://yarcheplus.ru/product/yabloki-red-delishes-35204
"Яблоки Гала поштучно, 0,1 - 0,25 кг";"Фрукты";47;0.4;0.4;9.8;https://yarcheplus.ru/product/yabloki-7498
